First name,Last name,Affiliation
Debra,Perez,Moore Foundation
Saul,Perlmutter,University of California at Berkeley
Bijan ,Pesaran,New York University
Jesse,Piedfort,University of Washington
Lauren,Ponisio,University of California at Berkeley
Lauren,Ponisio,University of California at Berkeley
Jake,Porway,DataKind
Karthik,Ram,University of California at Berkeley
Remi,Rampin,New York University
Alexander,Ratner,Stanford University
Chris,Re,Stanford University
Kim,Reynolds,UT Southwestern Medical Center
Kristina,Riemer,University of Florida
Alex,Rives,Simons Center for Data Analysi
Fatland,Rob,University of Washington
David,Robinson,Stack Overflow
Matthew,Rocklin,Continuum Analytics
Ariel,Rokem,University of Washington
Paul,Romer,NYU
Ian,Rose,University of California at Berkeley
Brooke,Rosenzweig,Helmsley Charitable Trust
Jeffrey,Roth,NYC Taxi and Limousine Commission
Matt,Salganik,Princeton
Brian,Sandberg,DARPA
Arvind,Satyanarayan,Stanford University
Jacob,Schreiber,University of Washington
Camille,Scott,UC Davis
Viral,Shah,Julia Computing
Wade,Shen,DARPA
Elliott,Shore,Association of Research Libraries
Alexandra,Siegel,New York University
Claudio,Silva,New York University
Amit,Singer,Princeton University
Lam,Siu Kwan,Continuum Analytics
Allison,Smith,University of Washington
Nathaniel,Smith,University of California at Berkeley
Allison,Smith,University of Washington
Arfon,Smith,GitHub
Kevin,Smith,University of Michigan
David,Spergel,Princeton
Arthur,Spirling,New York University
Maria,Spiropulu,Caltech
Divesh,Srivastava,AT&T Research
John,Stachurski,QuantEcon
Valentina,Staneva,University of Washington
Michael,Stebbins,Arnold Foundation
Vicky,Steeves,New York University
Matthew,Stephens,University of Chicago
Victoria,Stodden,University of Illinois
Sarah,Stone,University of Washington
Carly,Strasser,Moore Foundation
Werner,Stuetzle,University of Washington
Anthony,Suen,University of California at Berkeley
Blair,Sullivan,North Carolina State University
Nick,Swanson-Hysell,University of California at Berkeley
Alex,Szalay,Johns Hopkins University
Anissa,Tanweer,University of Washington
Tracy,Teal,Data Carpentry
Lenny,Teytelman,Protocols.io
Kaitlin,Thaney,Mozilla Foundation
Jessica,Traynor,Siegel Endowment
Joshua,Tucker,NYU
Matthew,Turk,University of Illinois
Jeff,Ubois,MacArthur Foundation
Daniela,Ushizima,University of California at Berkeley
Dirk,Van Dall,MLB Advanced Media
Stéfan,van der Walt,University of California at Berkeley
Mollie,Van Gordon,UC Berkeley
Nelle,Varoquaux,University of California at Berkeley
Huy,Vo,CUNY
Laura,Waller,UC Berkeley
Gao,Wang,University of Chicago
Xin Ru (Nancy),Wang,University of Washington
Gregory,Way,University of Pennsylvania
Thaisa,Way,University of Washington
Jeff,Wesler,IBM
Jevin,West,University of Washington
Jamie,Whitacre,University of California at Berkeley
Ethan,White,University of Florida
Chris,Wiggins,Columbia University
Debra,Williams,Pearson
Li-Hao,Yeh,UC Berkeley
Bowen,Yu,New York University
Eleni Zacharatou,Zacharatou,New York University
Ashley,Zauderer,Templeton Foundation
Maria,Zemankova,National Science Foundation
Tian,Zheng,Columbia University
Kathleen Hill,Zichy,New York University
